"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Number of Associated Companies","hs_num_associated_companies","number","Number of companies associated with this ticket","ticketinformation","false","","true","true","true","false","false","true","HubSpot","","100%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","ticketinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","ticketinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","ticketinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","ticketinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","ticketinformation","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Originating channel account","hs_originating_channel_instance_id","enumeration","First channel account used when conversation was started","ticketinformation","false","","true","true","true","true","false","true","HubSpot","","40%","",""
"Originating channel type","hs_originating_generic_channel_id","enumeration","The channel the conversation is in","ticketinformation","false","","true","true","true","true","false","true","HubSpot","","40%","",""
"Outbound ticket","hs_outbound_ticket","bool","Was the ticket created by sending an outbound communication from an object record page?","ticketinformation","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","","0%","",""
"Pipeline","hs_pipeline","enumeration","The pipeline that contains this ticket","ticketinformation","true","","false","true","false","true","false","true","HubSpot","","100%","",""
"Ticket status","hs_pipeline_stage","enumeration","The pipeline stage that contains this ticket","ticketinformation","true","","false","true","false","true","false","true","HubSpot","","100%","",""
"Resolution","hs_resolution","enumeration","The action taken to resolve the ticket","ticketinformation","true","Issue fixed (ISSUE_FIXED); Feature request tracked (FEATURE_REQUEST_TRACKED); Refund applied (REFUND_APPLIED); Sent knowledge document link (SENT_KNOWLEDGE_DOCUMENT_LINK)","false","true","false","false","false","true","HubSpot","","0%","",""
"Ticket Tags","hs_tag_ids","enumeration","List of tag ids applicable to a ticket. This property is set automatically by HubSpot.","ticketinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Category","hs_ticket_category","enumeration","Main reason customer reached out for help","ticketinformation","true","Product issue (PRODUCT_ISSUE); Billing issue (BILLING_ISSUE); Feature request (FEATURE_REQUEST); General inquiry (GENERAL_INQUIRY)","false","false","false","false","false","true","HubSpot","","0%","",""
"Ticket ID","hs_ticket_id","number","The unique id for this ticket. This unique id is automatically populated by HubSpot.","ticketinformation","false","","true","true","true","false","false","true","HubSpot","","100%","",""
"Priority","hs_ticket_priority","enumeration","The level of attention needed on the ticket","ticketinformation","true","Low (LOW); Medium (MEDIUM); High (HIGH); Urgent (URGENT)","false","true","false","false","false","true","HubSpot","","20%","",""
"Time to close in SLA hours","hs_time_to_close_in_operating_hours","number","The time between when the ticket was created and closed. This time calculation accounts for the goals set up for your SLAs.","ticketinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Time to first response in SLA hours","hs_time_to_first_response_in_operating_hours","number","The time between the ticket create date and the first agent reply. This time calculation accounts for the goals set up for your SLAs.","ticketinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","ticketinformation","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Ticket owner","hubspot_owner_id","enumeration","User the ticket is assigned to. Assign additional users to a ticket record by creating a custom user property.","ticketinformation","true","","false","true","false","true","false","true","HubSpot","","100%","",""
"HubSpot team","hubspot_team_id","enumeration","Primary team of the ticket owner. This property is set automatically by HubSpot.","ticketinformation","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Indexed Chain","indexed_chain","enumeration","Chain that the subgraph is indexing","ticketinformation","true","Ethereum; Polygon; Arbitrum; Optimism","false","false","false","false","false","false","E&N Developer Account Operations","","20%","",""
"Source","source_type","enumeration","Channel where ticket was originally submitted","ticketinformation","true","Chat (CHAT) [READ-ONLY]; Email (EMAIL) [READ-ONLY]; Form (FORM) [READ-ONLY]; Phone (PHONE)","false","true","false","false","false","true","HubSpot","","40%","",""
"Subgraph Deployment ID","subgraph_deployment_id","string","","ticketinformation","true","","false","false","false","false","false","false","E&N Developer Account Operations","","0%","",""
"Subgraph ID","subgraph_id","string","","ticketinformation","true","","false","false","false","false","false","false","E&N Developer Account Operations","","0%","",""
"Ticket name","subject","string","Short summary of ticket","ticketinformation","true","","false","true","false","false","false","true","HubSpot","","100%","",""
